order_id,item_id,price
10001,93,70
10001,677,230
10001,97,100
10002,31,190
10002,72,270
10002,29,290
10003,72,270
10003,72,270
10003,31,190
10003,29,290
10004,74,250
10004,30,240
10004,29,290
10005,74,250
10005,97,100
10005,92,70
10005,30,240
10005,665,340
10006,29,290
10006,97,100
10006,66,220
10006,30,240
10007,29,290
10007,30,240
10007,93,70
10007,93,70
10007,677,230
10008,97,100
10008,30,240
10009,30,240
10009,72,270
10009,97,100
10010,97,100
10010,97,100
10010,31,190
10011,677,230
10011,71,220
10011,71,220
10011,677,230
10011,84,100
10012,97,100
10012,29,290
10012,677,230
10012,82,90
10013,82,90
10013,71,220
10014,72,270
10014,72,270
10015,84,100
10015,71,220
10015,93,70
10015,83,90
10016,29,290
10016,93,70
10017,67,370
10017,71,220
10017,677,230
10017,665,340
10017,73,250
10018,677,230
10018,84,100
10019,66,220
10019,84,100
10019,29,290
10020,84,100
10020,677,230
10020,74,250
10021,84,100
10021,66,220
10021,30,240
10021,74,250
10021,29,290
10022,677,230
10022,92,70
10022,67,370
10022,66,220
10023,97,100
10023,92,70
10023,665,340
10024,93,70
10024,92,70
10024,72,270
10024,665,340
10024,677,230
10025,97,100
10025,72,270
10025,74,250
10026,97,100
10026,72,270
10026,29,290
10027,677,230
10027,677,230
10028,82,90
10028,72,270
10028,97,100
10029,29,290
10029,93,70
10029,74,250
10029,31,190
10029,74,250
10030,29,290
10030,82,90
10030,83,90
10031,82,90
10031,84,100
10031,30,240
10031,67,370
10032,84,100
10032,31,190
10032,31,190
10033,92,70
10033,67,370
10034,82,90
10034,74,250
10034,677,230
10034,72,270
10034,31,190
10035,82,90
10035,83,90
10035,665,340
10035,29,290
10036,93,70
10036,67,370
10036,97,100
10036,74,250
10037,71,220
10037,31,190
10037,72,270
10038,665,340
10038,30,240
10038,66,220
10038,66,220
10038,66,220
10039,74,250
10039,71,220
10039,30,240
10039,97,100
10040,67,370
10040,93,70
10040,67,370
10040,66,220
10040,82,90
10041,93,70
10041,92,70
10042,73,250
10042,97,100
10042,29,290
10042,30,240
10043,82,90
10043,97,100
10044,67,370
10044,72,270
10044,74,250
10044,74,250
10044,97,100
10045,74,250
10045,31,190
10045,73,250
10046,29,290
10046,665,340
10046,67,370
10046,82,90
10047,71,220
10047,66,220
10047,73,250
10047,665,340
10048,82,90
10048,67,370
10048,83,90
10048,84,100
10048,74,250
10049,92,70
10049,84,100
10049,82,90
10050,29,290
10050,82,90
10051,72,270
10051,31,190
10052,67,370
10052,73,250
10052,83,90
10052,83,90
10053,31,190
10053,92,70
10053,82,90
10054,665,340
10054,84,100
10054,84,100
10054,74,250
10055,29,290
10055,93,70
10056,92,70
10056,73,250
10056,665,340
10056,93,70
10057,67,370
10057,665,340
10057,97,100
10058,83,90
10058,31,190
10059,677,230
10059,665,340
10059,83,90
10060,93,70
10060,665,340
10060,73,250
10060,73,250
10061,97,100
10061,83,90
10062,92,70
10062,92,70
10062,83,90
10063,74,250
10063,83,90
10063,29,290
10064,66,220
10064,93,70
10064,84,100
10065,74,250
10065,84,100
10065,665,340
10065,66,220
10066,31,190
10066,74,250
10066,73,250
10066,83,90
10067,97,100
10067,30,240
10067,82,90
10068,67,370
10068,29,290
10069,84,100
10069,31,190
10069,67,370
10070,29,290
10070,71,220
10071,97,100
10071,31,190
10071,31,190
10071,82,90
10072,67,370
10072,71,220
10073,97,100
10073,73,250
10074,93,70
10074,71,220
10075,66,220
10075,31,190
10075,82,90
10076,31,190
10076,66,220
10076,31,190
10077,71,220
10077,74,250
10077,82,90
10077,83,90
10078,92,70
10078,74,250
10078,30,240
10078,29,290
10078,66,220
10079,97,100
10079,665,340
10079,97,100
10079,31,190
10079,73,250
10080,74,250
10080,93,70
10080,665,340
10081,67,370
10081,93,70
10081,97,100
10081,92,70
10082,83,90
10082,92,70
10082,93,70
10082,29,290
10082,29,290
10083,31,190
10083,73,250
10083,74,250
10083,31,190
10084,84,100
10084,82,90
10085,66,220
10085,30,240
10085,83,90
10085,665,340
10086,74,250
10086,677,230
10086,72,270
10087,30,240
10087,84,100
10087,31,190
10087,92,70
10087,72,270
10088,677,230
10088,665,340
10088,66,220
10089,74,250
10089,84,100
10089,93,70
10090,29,290
10090,92,70
10090,93,70
10090,93,70
10091,72,270
10091,83,90
10091,93,70
10091,93,70
10092,93,70
10092,677,230
10092,30,240
10092,31,190
10093,31,190
10093,73,250
10093,67,370
10093,73,250
10094,29,290
10094,677,230
10094,73,250
10095,73,250
10095,30,240
10095,665,340
10095,82,90
10095,74,250
10096,30,240
10096,71,220
10096,73,250
10096,66,220
10097,665,340
10097,665,340
10098,97,100
10098,29,290
10098,74,250
10098,97,100
10098,74,250
10099,92,70
10099,93,70
10099,677,230
10100,83,90
10100,30,240
10100,92,70
10101,82,90
10101,93,70
10101,665,340
10102,73,250
10102,30,240
10102,30,240
10102,71,220
10102,74,250
10103,677,230
10103,84,100
10104,677,230
10104,29,290
10104,71,220
10104,29,290
10104,74,250
10105,67,370
10105,73,250
10105,73,250
10106,31,190
10106,74,250
10106,71,220
10106,67,370
10107,74,250
10107,665,340
10108,93,70
10108,67,370
10108,73,250
10108,83,90
10108,67,370
10109,97,100
10109,74,250
10109,30,240
10109,677,230
10110,665,340
10110,71,220
10110,73,250
10110,67,370
10111,97,100
10111,73,250
10111,74,250
10112,66,220
10112,67,370
10113,73,250
10113,67,370
10113,97,100
10113,66,220
10113,71,220
10114,83,90
10114,92,70
10114,665,340
10114,92,70
10114,83,90
10115,74,250
10115,73,250
10115,97,100
10115,93,70
10116,29,290
10116,67,370
10116,67,370
10116,73,250
10117,93,70
10117,82,90
10117,72,270
10117,83,90
10118,92,70
10118,72,270
10118,29,290
10118,29,290
10118,92,70
10119,67,370
10119,29,290
10119,82,90
10119,73,250
10119,97,100
10120,97,100
10120,92,70
10120,93,70
10121,84,100
10121,29,290
10121,29,290
10121,82,90
10122,93,70
10122,665,340
10122,665,340
10122,74,250
10123,97,100
10123,72,270
10124,74,250
10124,67,370
10125,665,340
10125,82,90
10125,97,100
10126,72,270
10126,29,290
10127,82,90
10127,30,240
10127,677,230
10127,92,70
10128,29,290
10128,97,100
10128,665,340
10128,67,370
10129,29,290
10129,84,100
10129,71,220
10129,92,70
10130,72,270
10130,74,250
10131,66,220
10131,71,220
10131,93,70
10131,74,250
10131,665,340
10132,66,220
10132,83,90
10132,71,220
10132,72,270
